# icon: 💻
iphone;costoso
android;robot
internet;red
wifi;clave
bluetooth;emparejar
gps;mapa
contraseña;secreta
app;descargar
pantalla táctil;dedo
cámara;foto
selfie;frontal
correo;bandeja
mensaje;burbuja
notificación;campana
cargador;enchufe
batería;porcentaje
auriculares;cable
altavoz;volumen
smart tv;aplicaciones
streaming;serie
videollamada;cara
nube;guardar
usb;pin
memoria;guardar
consola;mandos
juego en línea;partida
redes sociales;pasa tiempo
actualización;reinicio
robot;ayudante
dron;vuelo
