# icon: ⚡
cook;apron
travel;suitcase
drive;toll
study;highlighter
work;deadline
sleep;nap
read;bookmark
write;key
draw;pencil
sing;karaoke
dance;lights
run;sneaker
swim;goggles
climb;chalk
camp;tent
fish;hook
buy;bag
sell;sale
call;ringtone
record;microphone
photograph;flash
clean;glove
tidy;drawer
plan;planner
book;confirmation
celebrate;confetti
argue;tone
negotiate;handshake
rest;hammock
meditate;silence
improvise;no plan
jump;puddle
laugh;no reason
cry;movie
whisper;secret
shout;goal
listen;borrowed earbud
observe;from afar
chase;hallway
hide;behind
search;pockets
browse;tab
skate;rink
fly;window seat
dive;fin
clap;finale
toast;glasses
have breakfast;hurry
have dinner;late
snack;between meals
play;turn
train;set
recycle;bin
repair;patch
decorate;garland
cut;cutting board
