# icon: 🐾
dog;leash
cat;whiskers
rabbit;carrot
hamster;wheel
horse;horseshoe
cow;bell
sheep;wool
pig;mud
chicken;coop
duck;puddle
eagle;circles
owl;night
pigeon;square
crow;glint
dolphin;jump
shark;silence
whale;echo
octopus;ink
jellyfish;sting
penguin;suit
koala;hug
kangaroo;pouch
fox;stealth
wolf;pack
bear;cave
deer;branches
giraffe;lookout
elephant;memory
rhinoceros;armor
chameleon;change
snake;zigzag
lizard;sun
bee;buzz
butterfly;flutter
lion;mane
tiger;stripes
puma;shadow
panther;stealth
hyena;giggle
monkey;imitation
gorilla;chest
orangutan;forest
zebra;pattern
hippopotamus;slow river
crocodile;shore
turtle;slow step
frog;puddle
toad;garden
salamander;damp stone
parrot;repeat
canary;cage
turkey;feather
ostrich;race
flamingo;one leg
hedgehog;ball
raccoon;thief
otter;play
beaver;dam
bat;ceiling
