# icon: 🍽️
omelet;onion
sushi;salmon
paella;Sunday
pizza;box
burger;double stack
salad;cold fork
sandwich;foil
croquette;bar
gazpacho;summer
hummus;pita bread
arepa;griddle
empanada;pocket
lasagna;layers
risotto;spoon
taco;stain
ramen;deep bowl
ceviche;lime
fajita;sizzle
curry;strong smell
kebab;paper
falafel;ball
donut;hole
churro;sugar
ice cream;drip
flan;spoon
yogurt;lid
cheese;board
ham;thin slice
sausage;mustard
meatball;sauce
bread;bag
croissant;crumbs
cookie;milk
chocolate;wrapper
popcorn;crunch
granola;crunch
strawberry;seeds
banana;curve
grape;cluster
apple;crunch
burrito;midnight
nacho;cheese
tiramisu;small spoon
brownie;fingers
cupcake;birthday
muffin;morning
pancake;syrup
waffle;hotel
crepe;street stand
macaron;pretty box
pudding;small cup
couscous;spices
gnocchi;lazy Sunday
dumpling;steam
kimchi;weird smell
edamame;bar
tofu;griddle
tempura;crunch
sashimi;cold plate
bruschetta;toast
pesto;green
guacamole;chip bowl
pisto;skillet
toast;crunch
sponge cake;afternoon snack
