# icon: 🎬
Titanic;iceberg
Matrix;pill
Coco;guitar
Avatar;blue
Gladiator;arena
Inception;dreams
Frozen;snow
Jurassic Park;dinosaurs
The Godfather;family
Star Wars;lightsaber
Harry Potter;wand
The Lord of the Rings;ring
Toy Story;toys
Finding Nemo;ocean
Shrek;swamp
La La Land;jazz
Interstellar;space
Joker;smile
Rocky;stairs
Forrest Gump;bench
The Lion King;savanna
Mulan;honor
Aladdin;lamp
Up;balloons
Ratatouille;kitchen
Cars;race
Black Panther;suit
The Avengers;team
The Dark Knight;bat
Pirates of the Caribbean;compass
