# icon: 📦
umbrella;downpour
flashlight;power outage
clock;second hand
key;pocket
wallet;card
glasses;smudges
earbud;cable
charger;cable
keyboard;click
mouse;pad
monitor;reflection
printer;jam
microwave;beep
fridge;magnets
oven;mitt
frying pan;oil
knife;cutting board
fork;three prongs
spoon;dessert
plate;dishwasher
glass;condensation
bottle;cap
backpack;zipper
suitcase;wheels
helmet;buckle
brush;hair
towel;hook
soap;foam
shampoo;shower
hair dryer;noise
iron;steam
vacuum;dust
fan;summer
heater;winter
TV;remote
hammer;hit
screwdriver;twist
scissors;paper
stapler;office
glue;craft
tape;package
folder;files
notebook;spiral
pen;stain
pencil;lead
eraser;shavings
ruler;line
calculator;keys
thermometer;fever
padlock;spare key
chair;backrest
table;corner
curtain;window
pillow;couch
blanket;nap
toaster;lever
blender;noise
coffee maker;drip
keychain;sound
radio;dial
