# icon: 🗺️
airport;line
station;platform
library;silence
pharmacy;receipt
hospital;hallway
gym;weights
stadium;stands
cinema;seat
theater;stage
museum;footsteps
beach;sand
mountain;trail
park;bench
square;fountain
market;stalls
supermarket;cart
bakery;line
cafe;cup
bar;napkin
restaurant;bill
hotel;reception
office;meeting
school;bell
university;campus
church;echo
parking;ticket
gas station;hose
shop;fitting room
hair salon;mirror
laundromat;coins
zoo;family
aquarium;glass
club;lights
auditorium;row
pool;chlorine
spa;silence
lookout;sunset
cliff;wind
campsite;flashlight
lodge;fireplace
castle;wall
palace;staircase
harbor;moorings
bridge;crossing
tunnel;echo
highway;lanes
farm;sunrise
factory;shift
warehouse;pallet
workshop;tools
laboratory;lab coat
courthouse;bench
police station;report
flea market;bargain
