# icon: 🧑‍💼
doctor;shift
nurse;shift
dentist;glove
lawyer;case
firefighter;siren
police officer;radio
pilot;flight
flight attendant;aisle
waiter;tray
cook;apron
baker;flour
carpenter;sawdust
plumber;wrench
electrician;fuse
mechanic;grease
engineer;diagram
programmer;commit
designer;palette
architect;model
photographer;focus
journalist;headline
teacher;whiteboard
psychologist;session
vet;cage
pharmacist;prescription
cashier;barcode
delivery;doorbell
taxi driver;stand
gardener;shears
actor;rehearsal
surgeon;mask
translator;double text
accountant;closing
auditor;folder
bricklayer;cement
welder;sparks
miner;dirty helmet
fisherman;sunrise
pastry chef;icing
fruit seller;crate
florist;bouquet
jeweler;magnifier
watchmaker;spring
scientist;hypothesis
researcher;note
coach;board
referee;whistle
lifeguard;tower
astronaut;gravity
meteorologist;map
guide;flag
broadcaster;microphone
barber;razor
butcher;apron
truck driver;mile
