# icon: 📺
Friends;couch
Stranger Things;bikes
Breaking Bad;chemistry
The Office;office
Squid Game;games
Money Heist;mask
Game of Thrones;throne
The Simpsons;yellow
Futurama;delivery
The Mandalorian;helmet
Dark;time
Lost;island
Sherlock;deduction
Peaky Blinders;cap
The Crown;palace
Black Mirror;screen
Narcos;cartel
The Last of Us;fungus
House;diagnosis
Dexter;blood
Modern Family;family
How I Met Your Mother;umbrella
The Walking Dead;walkers
Better Call Saul;lawyer
Vikings;ships
Euphoria;glitter
Arcane;hextech
The Boys;heroes
Westworld;robots
Doctor Who;booth
