# icon: 🎮
Minecraft;blocks
Fortnite;building
Mario;mushroom
Zelda;triforce
GTA;city
Tetris;pieces
FIFA;ball
Among Us;impostor
Pokémon;capture
Sonic;rings
Pac-Man;ghosts
Street Fighter;hadouken
Mortal Kombat;fatality
Call of Duty;soldier
League of Legends;lane
Valorant;agents
Overwatch;team
Roblox;worlds
Animal Crossing;village
Doom;demons
Halo;ring
Skyrim;dragon
Elden Ring;rune
The Sims;house
Portal;portals
Fall Guys;obstacles
Hades;underworld
Hollow Knight;insects
God of War;axe
Resident Evil;zombies
Uncharted;treasure
The Last of Us;fungus
Spider-Man;web
Gran Turismo;wheel
Horizon;machines
Ghost of Tsushima;katana
Bloodborne;hunter
Ratchet & Clank;wrench
Crash Bandicoot;crates
LittleBigPlanet;sack
Final Fantasy VII;materia
Metal Gear Solid;box
Tekken;fists
Kingdom Hearts;keyblade
Shadow of the Colossus;giant
