# icon: 🍽️
tortilla;cebolla
sushi;salomón
paella;domingo
pizza;caja
hamburguesa;doble piso
ensalada;tenedor frío
sándwich;papel aluminio
croqueta;bar
gazpacho;verano
hummus;pan pita
arepa;plancha
empanada;bolsillo
lasaña;capas
risotto;cuchara
taco;mancha
ramen;bol hondo
ceviche;lima
fajita;chisporroteo
curry;olor fuerte
kebab;papel
falafel;bolita
donut;agujero
churro;azúcar
helado;goteo
flan;cuchara
yogur;tapa
queso;tabla
jamón;corte fino
salchicha;mostaza
albóndiga;salsa
pan;bolsa
croissant;migajas
galleta;leche
chocolate;envoltorio
palomita;crujido
granola;crujido
fresa;semillas
plátano;curva
uva;racimo
manzana;crujido
burrito;medianoche
nacho;queso
tiramisú;cuchara pequeña
brownie;dedos
cupcake;cumpleaños
muffin;mañana
pancake;sirop
waffle;hotel
crepe;puesto calle
macaron;caja bonita
pudding;vasito
cuscús;especias
gnocchi;domingo lento
dumpling;vapor
kimchi;olor raro
edamame;barra
tofu;plancha
tempura;crujido
sashimi;plato frío
bruschetta;brindis
pesto;verde
guacamole;nachera
pisto;sartén
tostada;crujido
bizcocho;merienda
