# icon: 🗺️
aeropuerto;cola
estación;andén
biblioteca;silencio
farmacia;ticket
hospital;pasillo
gimnasio;pesas
estadio;gradas
cine;butaca
teatro;escenario
museo;pasos
playa;arena
montaña;sendero
parque;banco
plaza;fuente
mercado;puestos
supermercado;carrito
panadería;cola
cafetería;taza
bar;servilleta
restaurante;cuenta
hotel;recepción
oficina;reunión
escuela;timbre
universidad;campus
iglesia;eco
aparcamiento;ticket
gasolinera;manguera
tienda;probador
peluquería;espejo
lavandería;monedas
zoológico;familia
acuario;cristal
discoteca;luces
auditorio;fila
piscina;cloro
spa;silencio
mirador;atardecer
acantilado;viento
camping;linterna
refugio;chimenea
castillo;muralla
palacio;escalera
puerto;amarre
puente;paso
túnel;eco
autopista;carriles
granja;amanecer
fábrica;turno
almacén;palet
taller;herramienta
laboratorio;bata
tribunal;estrado
comisaría;denuncia
mercadillo;regateo
