# icon: 🎬
Titanic;iceberg
Matrix;pastilla
Coco;guitarra
Avatar;azul
Gladiator;arena
Inception;sueños
Frozen;nieve
Jurassic Park;dinosaurios
El Padrino;familia
Star Wars;sable
Harry Potter;varita
El Señor de los Anillos;anillo
Toy Story;juguetes
Buscando a Nemo;océano
Shrek;pantano
La La Land;jazz
Interstellar;espacio
Joker;sonrisa
Rocky;escaleras
Forrest Gump;banco
El Rey León;sabana
Mulan;honor
Aladdin;lámpara
Up;globos
Ratatouille;cocina
Cars;carrera
Black Panther;traje
Los Vengadores;equipo
El Caballero Oscuro;murciélago
Piratas del Caribe;brújula
