# icon: 📺
Friends;sofá
Stranger Things;bicicletas
Breaking Bad;química
The Office;oficina
Squid Game;juegos
La Casa de Papel;máscara
Juego de Tronos;trono
Los Simpson;amarillo
Futurama;reparto
The Mandalorian;casco
Dark;tiempo
Lost;isla
Sherlock;deducción
Peaky Blinders;gorra
The Crown;palacio
Black Mirror;pantalla
Narcos;cartel
The Last of Us;hongo
House;diagnóstico
Dexter;sangre
Modern Family;familia
How I Met Your Mother;paraguas
The Walking Dead;caminantes
Better Call Saul;abogado
Vikingos;barcos
Euphoria;brillo
Arcane;hextech
The Boys;héroes
Westworld;robots
Doctor Who;cabina
