# icon: 🦸
Spider-Man;telaraña
Batman;murciélago
Wolverine;garras
Wonder Woman;lazo
Thanos;guante
Hulk;verde
Flash;velocidad
Superman;capa
Iron Man;armadura
Capitán América;escudo
Thor;martillo
Black Widow;espía
Doctor Strange;hechizos
Aquaman;océano
Catwoman;gata
Loki;engaño
Deadpool;chistes
Black Panther;traje
Ant-Man;pequeño
Viuda Negra;espía
Bruja Escarlata;caos
Green Lantern;anillo
Harley Quinn;martillo
Joker;sonrisa
Magneto;metal
Profesor X;mente
Raven;misterio
Robin;compañero
Groot;árbol
Rocket;mapache
