# icon: 🎮
Minecraft;bloques
Fortnite;construcción
Mario;seta
Zelda;trifuerza
GTA;ciudad
Tetris;piezas
FIFA;balón
Among Us;impostor
Pokémon;captura
Sonic;anillos
Pac-Man;fantasmas
Street Fighter;hadouken
Mortal Kombat;fatality
Call of Duty;soldado
League of Legends;carril
Valorant;agentes
Overwatch;equipo
Roblox;mundos
Animal Crossing;aldea
Doom;demonios
Halo;anillo
Skyrim;dragón
Elden Ring;runa
The Sims;casa
Portal;portales
Fall Guys;obstáculos
Hades;inframundo
Hollow Knight;insectos
God of War;hacha
Resident Evil;zombis
Uncharted;tesoro
The Last of Us;hongo
Spider-Man;telaraña
Gran Turismo;volante
Horizon;máquinas
Ghost of Tsushima;katana
Bloodborne;cazador
Ratchet & Clank;llave
Crash Bandicoot;cajas
LittleBigPlanet;saco
Final Fantasy VII;materia
Metal Gear Solid;caja
Tekken;puños
Kingdom Hearts;llave espada
Shadow of the Colossus;gigante
